"mp","party","constituency","state","mp_since","attendance","speeches","first_committee","second_committee","vote_share","winning_margin","challenger_party","challenger_share","email","phone","website","preference"
"Arthur Ali","Liberal","Mühlshafen","South Luzland","2020","53","43","Internal Affairs","Standards and Procedures","27.4%","1.1%","Green","26.3%","a.ali@parliament.luz","+388 216 2412","https://www.arthur-ali.luz","telephone"
"Chris Antony","Labour","Benwerder","East Luzland","2005","25","9","Constitutional Affairs","External Affairs","30%","3%","Liberal","27%","chris.antony@parliament.luz","+388 216 2252","https://www.chris-antony.luz","e-mail"
"Chloë Bakker","Labour","Steffisfelden","South Luzland","2015","62","11","Equalities and Human Rights","Constitutional Affairs","29.2%","3.8%","Green","25.4%","chloe.bakker@parliament.luz","+388 216 2260","https://www.chloebakker.luz","telephone"
"Rose Barnes","Liberal","Dillon","North Luzland","2015","58","9","Legislative Scrutiny","External Affairs","28.5%","0.5%","Green","28%","r.barnes@parliament.luz","+388 216 2346","https://www.rose-barnes.luz","e-mail"
"Emilia Bauer","Green","Kilnard","East Luzland","2005","54","46","Constitutional Affairs","Standards and Procedures","33.9%","6.4%","Labour","27.5%","e.bauer@parliament.luz","+388 216 2458","https://www.emilia-bauer.luz","e-mail"
"Wilma Baumann","Green","Granderry","South Luzland","2010","23","9","Legislative Scrutiny","Standards and Procedures","31.7%","3.8%","Labour","27.9%","wilma.baumann@parliament.luz","+388 216 2282","https://www.wilma-baumann.luz","e-mail"
"Matteo Becker","Labour","Enkmelo","South Luzland","2010","54","32","Legislative Scrutiny","Equalities and Human Rights","33%","7.3%","Green","25.7%","matteo.becker@parliament.luz","+388 216 2375","https://www.matteobecker.luz","e-mail"
"Patricia Bernard","Labour","Gänsernten","East Luzland","2020","64","11","Legislative Scrutiny","Standards and Procedures","31.9%","3.5%","Conservative","28.4%","patricia.bernard@parliament.luz","+388 216 2401","https://www.patricia-bernard.luz","e-mail"
"Lina Booth","Liberal","Leonrau","North Luzland","2020","36","46","External Affairs","Internal Affairs","27.6%","1.1%","Green","26.5%","lina.booth@parliament.luz","+388 216 2364","https://www.lina-booth.luz","e-mail"
"Sophie Bos","Independent","Zotburg","West Luzland","2010","42","9","External Affairs","Constitutional Affairs","33.8%","6.8%","Green","27%","s.bos@parliament.luz","+388 216 2241","https://www.sophiebos.luz","e-mail"
"Emma Brouwer","Liberal","Perpisier","North Luzland","2000","46","45","Equalities and Human Rights","Standards and Procedures","32%","6.1%","Green","25.9%","e.brouwer@parliament.luz","+388 216 2406","https://www.emmabrouwer.luz","e-mail"
"Jules Brunner","Conservative","Ligny","West Luzland","2015","27","27","Constitutional Affairs","Equalities and Human Rights","28.6%","2.6%","Labour","26%","jules.brunner@parliament.luz","+388 216 2320","https://www.jules-brunner.luz","telephone"
"Martyn Buckler","Liberal","Roesringen","North Luzland","2000","41","11","Standards and Procedures","Equalities and Human Rights","29.9%","1.5%","Conservative","28.4%","m.buckler@parliament.luz","+388 216 2390","https://www.martynbuckler.luz","e-mail"
"Wouter Church","Labour","Shanmeath","East Luzland","2020","37","20","Internal Affairs","External Affairs","33%","4.3%","Liberal","28.7%","w.church@parliament.luz","+388 216 2285","https://www.wouter-church.luz","telephone"
"Philip Collins","Conservative","Arford","East Luzland","2010","54","46","Constitutional Affairs","External Affairs","33.4%","7.7%","Green","25.7%","p.collins@parliament.luz","+388 216 2243","https://www.philip-collins.luz","telephone"
"Karl Connor","Liberal","Ebenhaus","West Luzland","2005","24","13","Standards and Procedures","Constitutional Affairs","30.2%","5.4%","Green","24.8%","k.connor@parliament.luz","+388 216 2401","https://www.karlconnor.luz","e-mail"
"Liam Connors","Liberal","Sachsenräschen","West Luzland","2000","36","23","Standards and Procedures","Internal Affairs","29%","1.1%","Conservative","27.9%","liam.connors@parliament.luz","+388 216 2414","https://www.liam-connors.luz","telephone"
"Chantal de Boer","Labour","Riviervik","South Luzland","2005","44","12","Legislative Scrutiny","Constitutional Affairs","28.6%","2.6%","Conservative","26%","chantal.de.boer@parliament.luz","+388 216 2421","https://www.chantal-de-boer.luz","e-mail"
"Monika de Groot","Liberal","Dungarblayney","East Luzland","2010","54","7","Internal Affairs","Equalities and Human Rights","29.3%","3%","Green","26.3%","m.de@parliament.luz","+388 216 2354","https://www.monika-de-groot.luz","telephone"
"Louis de Jong","Liberal","Épiluçon","West Luzland","2010","59","32","Internal Affairs","Constitutional Affairs","27.6%","2.2%","Conservative","25.4%","louis.de.jong@parliament.luz","+388 216 2425","https://www.louis-de-jong.luz","telephone"
"Tim de Vries","Green","Yougdare","South Luzland","2010","50","10","Standards and Procedures","Legislative Scrutiny","30.7%","4.3%","Liberal","26.4%","t.de@parliament.luz","+388 216 2400","https://www.timdevries.luz","telephone"
"Maël Dekker","Independent","Granlarney","North Luzland","2000","55","27","Legislative Scrutiny","Internal Affairs","28.2%","2%","Conservative","26.2%","m.dekker@parliament.luz","+388 216 2404","https://www.maeldekker.luz","e-mail"
"Josef Dubois","Liberal","Lieszona","West Luzland","2020","26","32","Internal Affairs","Legislative Scrutiny","31.2%","4.7%","Conservative","26.5%","j.dubois@parliament.luz","+388 216 2240","https://www.josef-dubois.luz","e-mail"
"Raphaël Durand","Liberal","Dornshafen","East Luzland","2015","65","11","Internal Affairs","Constitutional Affairs","29.1%","3.8%","Labour","25.3%","r.durand@parliament.luz","+388 216 2264","https://www.raphael-durand.luz","telephone"
"Lina Fellows","Labour","Walskirchen","West Luzland","2010","31","41","Standards and Procedures","Legislative Scrutiny","31.3%","2.5%","Green","28.8%","lina.fellows@parliament.luz","+388 216 2258","https://www.lina-fellows.luz","e-mail"
"Elias Fischer","Labour","Gordola","North Luzland","2010","58","12","Legislative Scrutiny","Equalities and Human Rights","34.8%","7.6%","Green","27.2%","elias.fischer@parliament.luz","+388 216 2393","https://www.eliasfischer.luz","e-mail"
"Simone Fischer","Liberal","Einwil","South Luzland","2015","40","44","External Affairs","Constitutional Affairs","31.8%","6.1%","Conservative","25.7%","simone.fischer@parliament.luz","+388 216 2258","https://www.simone-fischer.luz","telephone"
"Jamie Fournier","Liberal","Borgny","East Luzland","2020","23","37","Equalities and Human Rights","Standards and Procedures","29.9%","4.7%","Conservative","25.2%","jamie.fournier@parliament.luz","+388 216 2390","https://www.jamie-fournier.luz","e-mail"
"Lucas Frei","Labour","Amdeck","South Luzland","2015","44","15","Legislative Scrutiny","Standards and Procedures","29.1%","1.2%","Liberal","27.9%","l.frei@parliament.luz","+388 216 2276","https://www.lucas-frei.luz","telephone"
"Gabriel Galloway","Green","Eastlarney","West Luzland","2020","29","44","External Affairs","Legislative Scrutiny","30.9%","4%","Liberal","26.9%","g.galloway@parliament.luz","+388 216 2290","https://www.mpgalloway.luz","e-mail"
"Alice Garcia","Liberal","Genwijk","West Luzland","2010","56","35","Internal Affairs","Legislative Scrutiny","27.9%","0.5%","Green","27.4%","alice.garcia@parliament.luz","+388 216 2323","https://www.alicegarcia.luz","telephone"
"Jane Gerber","Liberal","Forbergen","West Luzland","2000","39","22","Legislative Scrutiny","External Affairs","31%","3.1%","Conservative","27.9%","j.gerber@parliament.luz","+388 216 2333","https://www.jane-gerber.luz","telephone"
"Sofia Girard","Liberal","Tongschot","North Luzland","2015","28","24","Constitutional Affairs","Legislative Scrutiny","32.9%","7.6%","Conservative","25.3%","s.girard@parliament.luz","+388 216 2403","https://www.sofia-girard.luz","e-mail"
"Liam Graf","Independent","Avirac","West Luzland","2005","41","46","Constitutional Affairs","Standards and Procedures","33.1%","4.6%","Green","28.5%","liam.graf@parliament.luz","+388 216 2327","https://www.lgraf.luz","telephone"
"Lara Groen","Liberal","Loughnasloe","South Luzland","2000","59","36","Standards and Procedures","Equalities and Human Rights","30.6%","4%","Conservative","26.6%","lara.groen@parliament.luz","+388 216 2418","https://www.lara-groen.luz","e-mail"
"Louis Harris","Liberal","Colroux","West Luzland","2010","39","41","Standards and Procedures","Legislative Scrutiny","28.7%","1.7%","Labour","27%","l.harris@parliament.luz","+388 216 2353","https://www.louis-harris.luz","telephone"
"Christine Hendriks","Green","Gmunfurt","West Luzland","2015","44","12","Standards and Procedures","Legislative Scrutiny","31.8%","5.7%","Liberal","26.1%","c.hendriks@parliament.luz","+388 216 2307","https://www.christine-hendriks.luz","e-mail"
"David Hoffmann","Liberal","Roesberg","North Luzland","2020","45","26","Equalities and Human Rights","External Affairs","30.3%","3.6%","Green","26.7%","d.hoffmann@parliament.luz","+388 216 2329","https://www.david-hoffmann.luz","e-mail"
"Elisabeth Huber","Labour","Rheidrisio","North Luzland","2005","44","22","Constitutional Affairs","External Affairs","29.9%","4.8%","Green","25.1%","e.huber@parliament.luz","+388 216 2281","https://www.elisabeth-huber.luz","e-mail"
"Amita Jansen","Conservative","Ebergeismar","South Luzland","2000","59","25","External Affairs","Internal Affairs","34.4%","7.9%","Green","26.5%","amita.jansen@parliament.luz","+388 216 2288","https://www.amitajansen.luz","telephone"
"Mia Janssen","Liberal","Bischofring","East Luzland","2010","26","16","Standards and Procedures","Legislative Scrutiny","28.6%","2.3%","Conservative","26.3%","m.janssen@parliament.luz","+388 216 2448","https://www.miajanssen.luz","telephone"
